"icd9pro","d9carotid","d9cArtery","d9pArtery","d9BariatricSurg","d9Renal","d9Transplant","d9Dialysis","d9Kidney_Transplant"
"1231",0,0,0,0,0,0,0,0
"1232",0,0,0,0,0,0,0,0
"1233",0,0,0,0,0,0,0,0
"1234",0,0,0,0,0,0,0,0
"1235",0,0,0,0,0,0,0,0
"1239",0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0
"1240",0,0,0,0,0,0,0,0
"1241",0,0,0,0,0,0,0,0
"1242",0,0,0,0,0,0,0,0
"1243",0,0,0,0,0,0,0,0
"1244",0,0,0,0,0,0,0,0
"1253",0,0,0,0,0,0,0,0
"1254",0,0,0,0,0,0,0,0
"1255",0,0,0,0,0,0,0,0
"1259",0,0,0,0,0,0,0,0
"1263",0,0,0,0,0,0,0,0
"1264",0,0,0,0,0,0,0,0
"1265",0,0,0,0,0,0,0,0
"1266",0,0,0,0,0,0,0,0
"1269",0,0,0,0,0,0,0,0
"1271",0,0,0,0,0,0,0,0
"1272",0,0,0,0,0,0,0,0
"1273",0,0,0,0,0,0,0,0
"1279",0,0,0,0,0,0,0,0
"1281",0,0,0,0,0,0,0,0
"1283",0,0,0,0,0,0,0,0
"1284",0,0,0,0,0,0,0,0
"1287",0,0,0,0,0,0,0,0
"1288",0,0,0,0,0,0,0,0
"1289",0,0,0,0,0,0,0,0
"1291",0,0,0,0,0,0,0,0
"1292",0,0,0,0,0,0,0,0
"1297",0,0,0,0,0,0,0,0
"1299",0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0
"1311",0,0,0,0,0,0,0,0
"1313",0,0,0,0,0,0,0,0
"1315",0,0,0,0,0,0,0,0
"13160",0,0,0,0,0,0,0,0
"1319",0,0,0,0,0,0,0,0
"132",0,0,0,0,0,0,0,0
"133",0,0,0,0,0,0,0,0
"1341",0,0,0,0,0,0,0,0
"1342",0,0,0,0,0,0,0,0
"1343",0,0,0,0,0,0,0,0
"1351",0,0,0,0,0,0,0,0
"1359",0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,0
"1364",0,0,0,0,0,0,0,0
"1365",0,0,0,0,0,0,0,0
"1366",0,0,0,0,0,0,0,0
"1369",0,0,0,0,0,0,0,0
"1370",0,0,0,0,0,0,0,0
"1371",0,0,0,0,0,0,0,0
"1372",0,0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0
"14000",0,0,0,0,0,0,0,0
"1402",0,0,0,0,0,0,0,0
"1404",0,0,0,0,0,0,0,0
"1406",0,0,0,0,0,0,0,0
"1411",0,0,0,0,0,0,0,0
"1419",0,0,0,0,0,0,0,0
"1421",0,0,0,0,0,0,0,0
"1422",0,0,0,0,0,0,0,0
"1423",0,0,0,0,0,0,0,0
"1424",0,0,0,0,0,0,0,0
"1425",0,0,0,0,0,0,0,0
"1427",0,0,0,0,0,0,0,0
"1429",0,0,0,0,0,0,0,0
"1431",0,0,0,0,0,0,0,0
"1432",0,0,0,0,0,0,0,0
"1433",0,0,0,0,0,0,0,0
"1434",0,0,0,0,0,0,0,0
